TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
statechart.BouncingBall,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8969230769230769,119,109
statechart.CSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8902777777777778,95,81
statechart.C,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6305555555555555,110,56
statechart.C2Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8947990543735225,109,94
statechart.C2,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6236406619385343,124,60
statechart.ChildSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9034188034188034,79,70
statechart.Child,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9341880341880343,90,86
statechart.ChildfirstSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8982398239823982,116,101
statechart.Childfirst,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9568231332937215,132,124
statechart.CoffeeMachineSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8611111111111112,198,153
statechart.CoffeeMachine,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5119949494949495,213,79
statechart.mrw.statechart.ConfigureSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9076797385620915,154,138
statechart.mrw.statechart.Configure,BRANCH;METHODNOEXCEPTION;OUTPUT,0.601152932035285,195,94
statechart.ControllerSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9005847953216374,93,82
statechart.Controller,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6421334083872784,115,61
statechart.Controller_ComponentSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7384009009009009,174,125
statechart.Controller_Component,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5511088011088011,194,88
statechart.CyclebasedSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8385254413291796,124,89
statechart.Cyclebased,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6026862026862027,128,55
statechart.DSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8940847322142287,154,132
statechart.D,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6447469475400073,174,81
statechart.DeviceTemp_ComponentSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6442396313364055,241,118
statechart.DeviceTemp_Component,BRANCH;METHODNOEXCEPTION;OUTPUT,0.537609532516154,294,142
statechart.DigitalWatchSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5094017094017094,810,281
statechart.DigitalWatch,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5967800408674445,882,278
statechart.ESimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8883388338833883,116,98
statechart.E,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6887188718871887,145,83
statechart.ElevatorSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8691756272401433,141,112
statechart.Elevator,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6714760489566357,159,72
statechart.Elevator_UnitSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.681501432174768,374,274
statechart.Elevator_Unit,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4899119155540481,415,153
statechart.EnvironmentSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6275227996330474,684,460
statechart.Environment,BRANCH;METHODNOEXCEPTION;OUTPUT,0.37552651453219044,766,269
statechart.EventBuffersDisabledSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8777777777777778,121,99
statechart.EventBuffersDisabled,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9502794939688144,129,122
statechart.EventBuffersEnabledSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9114114114114115,127,115
statechart.EventBuffersEnabled,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9513483458437587,135,128
statechart.EventdrivenSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9084084084084084,127,114
statechart.Eventdriven,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5556628056628057,137,58
statechart.FireAlarm_UnitSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6184339860029882,671,482
statechart.FireAlarm_Unit,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4697942513152397,795,360
statechart.FlashSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.911522633744856,97,88
statechart.Flash,BRANCH;METHODNOEXCEPTION;OUTPUT,0.654320987654321,117,61
statechart.HeatingSysSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9125295508274233,113,103
statechart.HeatingSys,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5181824502850786,123,53
statechart.Hub_PowerManagerSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8925925925925927,151,129
statechart.Hub_PowerManager,BRANCH;METHODNOEXCEPTION;OUTPUT,0.707936507936508,200,110
statechart.HubTemplateSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4011845853951117,537,151
statechart.HubTemplate,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4400649058543795,624,247
statechart.SmartTemplateSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4760344876485436,546,163
statechart.SmartTemplate,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5392646103389814,699,297
statechart.KeyboardSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9074074074074074,115,103
statechart.Keyboard,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9490784129959388,121,114
statechart.LampadaSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9027777777777778,104,92
statechart.Lampada,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9441919191919191,120,115
statechart.LedSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9074074074074074,78,70
statechart.Led,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9560846560846561,85,82
