File,StatechartName,NumStates,AvgDepth,MaxDepth,StandardEvosuiteCoverage,StandardSCTUnitCoverage,StandardSCTUnitStatus,SimplifiedEvosuiteCoverage,SimplifiedSCTUnitCoverage,SimplifiedSCTUnitStatus
Statechart13.ysc,Statechart13,16,2.5,4,0.59331098339719,0.00,PASSED,0.845410628019324,0.61,FAILED
Statechart14.ysc,Statechart14,11,2.54545454545455,4,0.597515964240102,0.00,PASSED,0.875,0.90,PASSED
Statechart2.ysc,Statechart2,45,2.15555555555556,3,0.645317475309192,0.00,PASSED,0.633106551080873,0.02,PASSED
Statechart3.ysc,Statechart3,3,1,1,0.630036231884058,0.00,ERROR,0.863333333333333,1.00,PASSED
Statechart4.ysc,Statechart4,5,1.2,2,0.957327344188658,1.00,FAILED,0.915247364152474,1.00,PASSED
Statechart5.ysc,Statechart5,5,1,1,0.676775395318442,0.00,ERROR,0.749172185430464,0.38,PASSED
Statechart6.ysc,Statechart6,3,1,1,0.630036231884058,0.00,PASSED,0.863333333333333,1.00,PASSED
Statechart7.ysc,Statechart7,8,1,1,0.637614368010844,0.00,ERROR,0.769273127753304,0.46,PASSED
StateMachine.ysc,StateMachine,2,1,1,0.57385477582846,0.00,PASSED,0.962962962962963,1.00,PASSED
StreetCrossingSystem.ysc,StreetCrossingSystem,4,1,1,0.612497709364119,0.00,PASSED,0.562472695500218,0.00,PASSED
SuperStepsDisabled.ysc,SuperStepsDisabled,4,1,1,0.962126558456834,0.63,FAILED,0.867991845056065,0.63,PASSED
SuperStepsEnabled.ysc,SuperStepsEnabled,4,1,1,0.960386473429952,1.00,FAILED,0.895169082125604,1.00,PASSED
Switch.ysc,Switch,10,1.9,3,0.473974243785565,0.00,PASSED,0.89412997903564,0.80,PASSED
System.ysc,System,2,1.5,2,0.739083367949347,0.33,FAILED,0.655670103092784,0.00,PASSED
test32.ysc,test32,2,1,1,0.717562437562438,0.00,PASSED,0.85970695970696,1.00,PASSED
test41.ysc,test41,4,1.5,2,0.969249065579341,0.81,FAILED,0.840214067278287,0.81,PASSED
test_convert_entry_exit_actions.ysc,test_converter_entry_exit_actions,5,1.4,2,0.590691864885413,0.00,PASSED,0.783870967741935,0.60,PASSED
test_convert_entry_exit_actions_expected.ysc,test_converter_entry_exit_actions_expected,5,1.4,2,0.593540259103173,0.00,PASSED,0.780794701986755,0.50,PASSED
test_get_statechart_mappings31.ysc,test_get_statechart_mappings31,3,1,1,0.953846153846154,1.00,FAILED,0.91025641025641,1.00,PASSED
test_remove_duplicate_transitions.ysc,test_remove_duplicate_transitions,2,1,1,0.957070707070707,0.71,FAILED,0.876262626262626,0.85,PASSED
test_remove_duplicate_transitions_expected.ysc,test_remove_duplicate_transitions_expected,2,1,1,0.961805555555556,1.00,FAILED,0.880208333333333,1.00,PASSED
test_remove_unnecessary_nesting_orthogonal_state.ysc,test_remove_unnecessary_nesting_orthogonal_state,4,1.5,2,0.948717948717949,1.00,FAILED,0.89957264957265,1.00,PASSED
test_remove_unnecessary_nesting_transfer_transitions.ysc,test_remove_unnecessary_nesting_transfer_transitions,3,1.33333333333333,2,0.921722846441948,0.00,BLOCKED,0.869538077403246,0.00,BLOCKED
test_remove_unreachable_states_expected.ysc,test_remove_unreachable_states_expected,4,1.5,2,0.946048109965636,1.00,FAILED,0.906643757159221,1.00,PASSED
Tracker.ysc,Tracker,6,1.5,2,0.551656920077973,0.00,PASSED,0.862573099415205,0.30,PASSED
TrafficLight.ysc,TrafficLight,6,1.66666666666667,2,0.690783480109323,0.00,PASSED,0.794444444444444,0.64,PASSED
TrafficLightCtrl.ysc,TrafficLightCtrl,13,2.38461538461538,3,0.661574359091289,0.00,PASSED,0.839804364183597,0.81,PASSED
TrafficLightCtrl1.ysc,TrafficLightCtrl1,14,2,3,0.680341169342001,0.00,PASSED,0.731908831908832,0.38,PASSED
TrafficLightStateMachine.ysc,TrafficLightStateMachine,9,2,3,0.555267838459929,0.00,PASSED,0.875235404896422,0.82,PASSED
TrafficLight_Unit.ysc,TrafficLight_Unit,12,2.08333333333333,3,0.702097505668934,0.00,PASSED,0.799253034547152,0.64,PASSED
Trolley.ysc,Trolley,23,2.73913043478261,4,0.592537296396489,0.00,PASSED,0.807017543859649,0.67,ERROR
TV_Unit.ysc,TV_Unit,6,1.83333333333333,3,0.581030512377663,0.00,PASSED,0.789464594127807,0.59,PASSED
TwoWayTrafficControl.ysc,TwoWayTrafficControl,9,1.66666666666667,2,0.64444314624683,0.00,PASSED,0.570887445887446,0.00,PASSED
TwoWayTrafficControl2.ysc,TwoWayTrafficControl2,5,1.4,2,0.805930710510863,0.40,FAILED,0.829156223893066,0.25,PASSED
Ultrasonic_MotionDetector.ysc,Ultrasonic_MotionDetector,12,2.16666666666667,3,0.612838238419634,0.00,PASSED,0.496249062265566,0.00,PASSED
Ultrasonic_Sensor.ysc,Ultrasonic_Sensor,4,1.5,2,0.736806722689076,0.00,PASSED,0.826031746031746,1.00,PASSED
Update.ysc,Update,10,1,1,0.539704959196485,0.00,PASSED,0.821563088512241,0.14,PASSED
watch.ysc,watch,26,2.19230769230769,4,0.706180603488679,0.00,PASSED,0.72704811443433,0.35,PASSED
watch_subdiagrams.ysc,watch_subdiagrams,26,2.19230769230769,4,0.705977152622911,0.00,PASSED,0.748249027237354,0.49,PASSED
ZowiSCT.ysc,ZowiSCT,12,1.66666666666667,2,0.561985606354207,0.00,PASSED,0.759745762711864,0.24,PASSED
