TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
statechart.LEDLight_UnitSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7798353909465021,193,136
statechart.LEDLight_Unit,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6297908845801566,213,97
statechart.LightSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9091503267973856,102,92
statechart.Light,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6284780578898226,126,66
statechart.Light_controllerSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4875827814569536,175,65
statechart.Light_controller,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4927784381426766,213,92
statechart.Light_switchSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7448581560283687,120,83
statechart.Light_switch,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6553615808934957,138,75
statechart.LightCtrlSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9084084084084084,92,83
statechart.LightCtrl,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6107142857142857,96,45
statechart.LineFollowerSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8084795321637427,168,105
statechart.LineFollower,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8094058877734129,287,208
statechart.Microwave_UnitSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8455337690631808,337,284
statechart.Microwave_Unit,BRANCH;METHODNOEXCEPTION;OUTPUT,0.633994166141909,384,154
statechart.MotionDetectionSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7994949494949495,254,191
statechart.MotionDetection,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6717676336218105,263,105
statechart.MotorControlSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9037319762510602,146,129
statechart.MotorControl,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9544105173876166,175,166
statechart.MqttClientStatechartSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6712765957446809,592,202
statechart.MqttClientStatechart,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7213941804479799,670,267
statechart.MusicPlayerSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6991449547855672,1318,705
statechart.MusicPlayer,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5625934368769135,1443,449
statechart.Network_ComponentSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8544444444444445,217,162
statechart.Network_Component,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6234057971014493,246,97
statechart.OnoffSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7891965678627145,684,513
statechart.Onoff,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6418285663302058,781,318
statechart.mrw.statechart.OperatingModeSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7509746588693957,199,112
statechart.mrw.statechart.OperatingMode,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5359615513880487,236,104
statechart.OrthogonalitySimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8968253968253969,178,154
statechart.Orthogonality,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9727463312368974,184,171
statechart.ParentSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9209702660406887,86,80
statechart.Parent,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9461658841940532,100,96
statechart.ParentfirstSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8718371837183718,116,93
statechart.Parentfirst,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9298871063576947,132,116
statechart.PhysicalEntity_TemplateSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4926406926406926,433,137
statechart.PhysicalEntity_Template,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6363548266318193,533,243
statechart.PhysicsSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8954248366013072,118,102
statechart.Physics,BRANCH;METHODNOEXCEPTION;OUTPUT,0.646878521523552,156,86
statechart.Power_ComponentSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7974006116207951,130,89
statechart.Power_Component,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7183614780536948,173,105
statechart.ReleaseProcessSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5721099887766554,125,55
statechart.ReleaseProcess,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6676100628930818,146,79
statechart.RgbSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8920634920634921,159,136
statechart.Rgb,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9855072463768115,165,159
statechart.mrw.statechart.RouteSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9422657952069716,326,273
statechart.mrw.statechart.Route,BRANCH;METHODNOEXCEPTION;OUTPUT,0.49203356556297734,360,118
statechart.SampleSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8950617283950617,233,200
statechart.Sample,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5930805640950568,261,101
statechart.mrw.statechart.SectionSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7777777777777778,706,364
statechart.mrw.statechart.Section,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5296578690127077,776,239
statechart.Sensor_ComponentSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8524904214559387,164,123
statechart.Sensor_Component,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6764890282131661,211,111
statechart.mrw.statechart.SignalSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9025018395879324,172,152
statechart.mrw.statechart.Signal,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5182313985196728,215,95
statechart.SignalcontrolSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7552255225522552,322,149
statechart.Signalcontrol,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6722872287228722,388,203
statechart.mrw.statechart.SignalControllerSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7890559732664997,823,450
statechart.mrw.statechart.SignalController,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5057213741424268,887,244
statechart.SmartFireSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5176068006627764,714,222
statechart.SmartFireSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6089220495423219,953,420
statechart.SmartHubSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.46606606606606604,1169,293
statechart.SmartHubSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5644701152765669,1416,525
statechart.SmartLightHUBSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4478399489877252,665,185
statechart.SmartLightHUB,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5627696834533785,816,323
statechart.SmartLightSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.502210433244916,560,169
statechart.SmartLightSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6199314472350086,709,305
statechart.SmartMicrowaveSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5019230769230769,558,168
statechart.SmartMicrowaveSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.60278306480521,716,302
statechart.SmartTrafficLightSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6006211644963328,553,211
statechart.SmartTrafficLightSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6287743733375014,728,321
statechart.SmartTVSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5029205029205029,556,169
statechart.SmartTVSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6100685879551312,718,309
statechart.StatechartSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.906810035842294,76,68
statechart.Statechart,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9559139784946237,83,80
statechart.Statechart1Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8824289405684755,325,268
statechart.Statechart1,BRANCH;METHODNOEXCEPTION;OUTPUT,0.593484680693983,365,135
statechart.Statechart12Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.825157933853586,317,209
statechart.Statechart12,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6002875485334256,353,138
statechart.Statechart13Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8454106280193238,432,308
statechart.Statechart13,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5933109833971902,475,161
statechart.Statechart14Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.875,306,245
statechart.Statechart14,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5975159642401021,342,132
statechart.Statechart2Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6331065510808734,1464,503
statechart.Statechart2,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6453174753091923,2003,949
statechart.Statechart3Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8633333333333333,125,111
statechart.Statechart3,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6300362318840579,139,71
statechart.Statechart4Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9152473641524738,155,142
statechart.Statechart4,BRANCH;METHODNOEXCEPTION;OUTPUT,0.957327344188658,167,159
